customerID,Gender,SeniorCitizen,Partner,Dependents,Day,Year,Month,Age
7590-VHVEG,Female,No,Yes,No,29,1998,1,27
5575-GNVDE,Male,No,No,No,12,1983,9,41
3668-QPYBK,Male,No,No,No,15,1996,5,29
7795-CFOCW,Male,No,No,No,19,2001,2,24
9237-HQITU,Female,No,No,No,23,1980,12,44
9305-CDSKC,Female,No,No,No,22,1989,5,36
1452-KIOVK,Male,No,No,Yes,16,1989,9,35
6713-OKOMC,Female,No,No,No,1,1981,8,43
7892-POOKP,Female,No,Yes,No,9,2000,11,24
6388-TABGU,Male,No,No,Yes,16,1997,3,28
9763-GRSKD,Male,No,Yes,Yes,21,2008,4,17
7469-LKBCI,Male,No,No,No,10,1985,10,39
8091-TTVAX,Male,No,Yes,No,7,1999,6,26
0280-XJGEX,Male,No,No,No,27,1990,6,35
5129-JLPIS,Male,No,No,No,19,1982,1,43
3655-SNQYZ,Female,No,Yes,Yes,15,2000,2,25
8191-XWSZG,Female,No,No,No,7,1992,3,33
9959-WOFKT,Male,No,No,Yes,24,1984,6,41
4190-MFLUW,Female,No,Yes,Yes,30,1982,11,42
4183-MYFRB,Female,No,No,No,16,2010,10,14
8779-QRDMV,Male,No,No,No,24,1997,1,28
1680-VDCWW,Male,No,Yes,No,13,1992,2,33
1066-JKSGK,Male,No,No,No,7,1993,2,32
3638-WEABW,Female,No,Yes,No,5,1995,4,30
6322-HRPFA,Male,No,Yes,Yes,17,2010,9,14
6865-JZNKO,Female,No,No,No,27,1989,11,35
6467-CHFZW,Male,No,Yes,Yes,20,1980,9,44
8665-UTDHZ,Male,No,Yes,Yes,10,1990,11,34
5248-YGIJN,Male,No,Yes,No,2,1994,12,30
8773-HHUOZ,Female,No,No,Yes,24,1986,12,38
3841-NFECX,Female,No,Yes,No,27,2001,10,23
4929-XIHVW,Male,No,Yes,No,24,2006,9,18
6827-IEAUQ,Female,No,Yes,Yes,2,2009,7,16
7310-EGVHZ,Male,No,No,No,30,2003,9,21
3413-BMNZE,Male,No,No,No,23,1984,11,40
6234-RAAPL,Female,No,Yes,Yes,30,2006,7,18
6047-YHPVI,Male,No,No,No,24,2006,2,19
6572-ADKRS,Female,No,No,No,4,1993,12,31
5380-WJKOV,Male,No,No,No,17,1983,10,41
8168-UQWWF,Female,No,No,No,1,2003,4,22
8865-TNMNX,Male,No,Yes,Yes,1,2003,3,22
9489-DEDVP,Female,No,Yes,Yes,24,2012,10,12
9867-JCZSP,Female,No,Yes,Yes,30,1998,6,27
4671-VJLCL,Female,No,No,No,25,1989,6,36
4080-IIARD,Female,No,Yes,No,24,2009,5,16
3714-NTNFO,Female,No,No,No,4,1997,11,27
5948-UJZLF,Male,No,No,No,24,1993,10,31
7760-OYPDY,Female,No,No,No,17,1985,7,40
7639-LIAYI,Male,No,No,No,23,2001,3,24
2954-PIBKO,Female,No,Yes,Yes,22,2008,8,16
8012-SOUDQ,Female,No,No,No,4,1988,11,36
9420-LOJKX,Female,No,No,No,14,2001,6,24
6575-SUVOI,Female,No,Yes,No,24,2006,2,19
7495-OOKFY,Female,No,Yes,No,3,2000,4,25
4667-QONEA,Female,No,Yes,Yes,25,1991,7,34
1658-BYGOY,Male,No,No,No,18,1984,2,41
8769-KKTPH,Female,No,Yes,Yes,19,2012,6,13
5067-XJQFU,Male,No,Yes,Yes,9,2004,8,20
3957-SQXML,Female,No,Yes,Yes,30,1993,2,32
5954-BDFSG,Female,No,No,No,10,1995,2,30
0434-CSFON,Female,No,Yes,No,4,1983,11,41
1215-FIGMP,Male,No,No,No,16,1987,10,37
0526-SXDJP,Male,No,Yes,No,3,1992,4,33
0557-ASKVU,Female,No,Yes,Yes,14,2005,2,20
5698-BQJOH,Female,No,No,No,17,2002,3,23
5122-CYFXA,Female,No,No,No,21,1992,8,32
8627-ZYGSZ,Male,No,Yes,No,19,1991,8,33
3410-YOQBQ,Female,No,No,No,4,2012,6,13
3170-NMYVV,Female,No,Yes,Yes,13,1983,1,42
7410-OIEDU,Male,No,No,No,20,2009,3,16
2273-QCKXA,Male,No,No,No,21,1999,8,25
0731-EBJQB,Female,No,Yes,Yes,19,1987,12,37
1891-QRQSA,Male,No,Yes,Yes,23,1980,10,44
8028-PNXHQ,Male,No,Yes,Yes,2,2010,11,14
5630-AHZIL,Female,No,No,Yes,21,1991,3,34
2673-CXQEU,Female,No,No,No,28,1980,2,45
6416-JNVRK,Female,No,No,No,3,1982,11,42
5590-ZSKRV,Female,No,Yes,Yes,29,2001,10,23
0191-ZHSKZ,Male,No,No,No,8,1982,1,43
3887-PBQAO,Female,No,Yes,Yes,11,2008,7,17
5919-TMRGD,Female,No,No,Yes,8,2012,12,12
8108-UXRQN,Female,No,Yes,Yes,24,1999,1,26
9191-MYQKX,Female,No,Yes,No,21,1998,8,26
9919-YLNNG,Female,No,No,No,13,2006,1,19
0318-ZOPWS,Female,No,Yes,No,24,1984,2,41
4445-ZJNMU,Male,No,No,No,20,1996,6,29
4808-YNLEU,Female,No,Yes,No,10,1988,2,37
1862-QRWPE,Female,No,Yes,Yes,16,1987,5,38
2796-NNUFI,Female,No,Yes,Yes,13,1993,6,32
3016-KSVCP,Male,No,Yes,No,2,2007,5,18
4767-HZZHQ,Male,No,Yes,Yes,16,2006,7,19
2424-WVHPL,Male,No,No,No,23,2006,12,18
7233-PAHHL,Male,No,Yes,Yes,17,2012,5,13
6067-NGCEU,Female,No,No,No,15,1992,12,32
9848-JQJTX,Male,No,No,No,24,1998,4,27
8637-XJIVR,Female,No,No,No,2,1997,5,28
9803-FTJCG,Male,No,Yes,Yes,18,1995,12,29
0278-YXOOG,Male,No,No,No,22,1994,2,31
3212-KXOCR,Male,No,No,No,16,1981,4,44
4598-XLKNJ,Female,No,Yes,No,6,2004,3,21
6380-ARCEH,Male,No,No,No,29,2004,1,21
3679-XASPY,Female,No,Yes,Yes,24,1998,2,27
7123-WQUHX,Male,No,No,No,14,1991,8,33
5386-THSLQ,Female,No,Yes,No,17,1982,5,43
3192-NQECA,Male,No,Yes,No,11,1993,1,32
6180-YBIQI,Male,No,No,No,3,1997,11,27
6728-DKUCO,Female,No,Yes,Yes,11,2006,2,19
9750-BOOHV,Female,No,No,No,23,2012,6,13
8597-CWYHH,Male,No,No,No,1,1984,8,40
2848-YXSMW,Male,No,Yes,Yes,4,1986,3,39
0486-HECZI,Male,No,Yes,No,1,2000,3,25
4549-ZDQYY,Female,No,No,No,9,1983,9,41
5712-AHQNN,Female,No,No,No,3,1981,10,43
4846-WHAFZ,Female,No,Yes,No,26,2005,3,20
5256-SKJGO,Female,No,Yes,Yes,13,1987,6,38
3071-VBYPO,Male,No,Yes,Yes,25,1996,7,29
9560-BBZXK,Female,No,No,No,30,1997,4,28
5299-RULOA,Female,No,Yes,Yes,23,2004,10,20
8402-OOOHJ,Female,No,No,No,2,1996,9,28
9445-ZUEQE,Male,No,Yes,Yes,26,2008,5,17
1091-SOZGA,Female,No,Yes,Yes,25,2001,1,24
2928-HLDBA,Female,No,No,No,6,1988,5,37
0404-SWRVG,Male,No,No,No,17,1989,11,35
6497-TILVL,Female,No,Yes,Yes,30,2002,11,22
7219-TLZHO,Female,No,Yes,Yes,11,1997,7,28
4622-YNKIJ,Male,No,No,No,6,1994,4,31
4412-YLTKF,Female,No,No,No,27,1982,10,42
6734-PSBAW,Male,No,Yes,No,1,1989,10,35
3930-ZGWVE,Male,No,No,No,30,1989,9,35
2639-UGMAZ,Male,No,No,No,3,2008,11,16
2876-GZYZC,Female,No,No,No,3,2012,10,12
6207-WIOLX,Female,No,Yes,Yes,11,2011,11,13
8587-XYZSF,Male,No,No,No,19,2010,9,14
3091-FYHKI,Male,No,No,No,20,1988,12,36
2372-HWUHI,Male,No,No,No,5,2000,2,25
7799-LGRDP,Female,No,No,No,6,1990,1,35
7850-VWJUU,Female,No,No,No,27,2006,4,19
3774-VBNXY,Female,No,Yes,Yes,18,1991,7,34
6217-KDYWC,Male,No,No,Yes,9,2006,11,18
0390-DCFDQ,Female,No,Yes,No,17,1991,3,34
3146-MSEGF,Female,No,Yes,Yes,13,2010,8,14
4080-OGPJL,Female,No,No,No,20,1996,11,28
1095-WGNGG,Female,No,Yes,No,10,1980,3,45
2636-SJDOU,Male,No,No,No,3,2000,7,25
1131-QQZEB,Male,No,Yes,No,21,2006,2,19
5716-EZXZN,Female,No,Yes,Yes,15,1998,4,27
6837-BJYDQ,Male,No,No,No,8,1988,9,36
2135-RXIHG,Male,No,No,No,8,2009,2,16
6440-DKQGE,Male,No,No,Yes,4,1983,7,42
3466-BYAVD,Male,No,Yes,Yes,9,2010,4,15
3780-YVMFA,Female,No,Yes,Yes,18,1985,3,40
3874-EQOEP,Male,No,No,No,21,1994,7,31
1679-JRFBR,Female,No,Yes,Yes,10,1998,1,27
9073-ZZIAY,Male,No,Yes,Yes,20,1998,7,27
3077-RSNTJ,Female,No,Yes,Yes,2,2006,9,18
6551-GNYDG,Female,No,Yes,Yes,14,2008,8,16
9167-APMXZ,Female,No,No,No,28,2007,10,17
2749-CTKAJ,Male,No,Yes,Yes,12,1986,10,38
6371-NZYEG,Male,No,Yes,Yes,20,1994,12,30
7554-NEWDD,Male,No,No,No,23,2006,2,19
8992-VONJD,Female,No,No,Yes,18,1997,12,27
0867-MKZVY,Female,No,Yes,No,12,1990,2,35
4482-EWFMI,Female,No,No,No,17,2007,12,17
4648-YPBTM,Male,No,No,No,11,1985,12,39
2907-ILJBN,Female,No,Yes,Yes,9,1990,8,34
6345-FZOQH,Male,No,Yes,No,16,2011,7,14
3376-BMGFE,Female,No,No,No,7,2003,1,22
5997-OPVFA,Male,No,Yes,No,27,1994,2,31
3445-HXXGF,Male,No,Yes,No,20,1989,7,36
1159-WFSGR,Female,No,Yes,Yes,6,1981,4,44
7654-YWJUF,Male,No,Yes,No,26,1984,10,40
1875-QIVME,Female,No,Yes,No,17,1998,6,27
6727-IOTLZ,Male,No,Yes,No,26,2009,2,16
0691-JVSYA,Female,No,Yes,No,16,2005,5,20
5918-VUKWP,Female,No,No,No,8,1990,9,34
1744-JHKYS,Female,No,Yes,No,16,1994,8,30
2656-FMOKZ,Female,No,No,No,7,1987,10,37
2070-FNEXE,Female,No,No,No,18,1987,1,38
5947-SGKCL,Female,No,Yes,Yes,4,1983,1,42
3712-PKXZA,Male,No,Yes,No,9,2012,12,12
6317-YPKDH,Female,No,No,No,24,1981,2,44
6582-OIVSP,Female,No,No,No,29,1998,7,26
9367-WXLCH,Male,No,No,No,11,2004,12,20
5524-KHNJP,Male,No,Yes,Yes,16,1994,2,31
1918-ZBFQJ,Female,No,No,No,24,2002,10,22
1024-GUALD,Female,No,Yes,No,14,1995,5,30
4827-USJHP,Male,No,No,No,6,2005,6,20
8167-GJLRN,Male,No,No,No,12,1990,8,34
0956-SYCWG,Female,No,No,No,26,1988,1,37
8017-UVSZU,Female,No,Yes,No,7,1983,11,41
7100-FQPRV,Male,No,Yes,Yes,7,1990,9,34
2472-OVKUP,Male,No,Yes,No,20,2001,10,23
2984-RGEYA,Female,No,Yes,Yes,26,1997,4,28
9680-NIAUV,Female,No,Yes,Yes,25,1999,11,25
2146-EGVDT,Male,No,Yes,Yes,6,1988,11,36
2604-IJPDU,Female,No,Yes,No,5,1989,11,35
9178-JHUVJ,Male,No,Yes,Yes,18,1981,11,43
6168-YBYNP,Male,No,No,No,3,2005,9,19
7255-SSFBC,Male,No,Yes,Yes,22,1987,11,37
3645-DEYGF,Male,No,No,Yes,9,2009,8,15
9323-HGFWY,Female,No,Yes,No,26,1988,6,37
8544-GOQSH,Female,No,No,No,29,1986,7,38
3363-DTIVD,Male,No,Yes,Yes,5,1985,1,40
7018-WBJNK,Male,No,No,Yes,28,1992,11,32
9142-KZXOP,Male,No,No,No,17,1998,4,27
7674-YTAFD,Female,No,No,No,15,1993,3,32
6348-SNFUS,Male,No,Yes,Yes,30,1990,2,35
1285-OKIPP,Male,No,No,No,30,1994,11,30
7825-ECJRF,Female,No,No,No,20,1985,2,40
1347-KTTTA,Male,No,Yes,No,24,2001,2,24
7841-TZDMQ,Male,No,No,No,8,2004,4,21
4195-NZGTA,Female,No,No,No,18,1997,8,27
7157-SMCFK,Male,No,No,Yes,3,2011,1,14
4709-LKHYG,Female,No,Yes,Yes,21,2000,4,25
2504-DSHIH,Male,No,Yes,No,15,2007,11,17
0699-NDKJM,Female,No,Yes,No,13,1991,10,33
9286-BHDQG,Male,No,Yes,Yes,16,2007,8,17
0230-WEQUW,Male,No,Yes,No,1,2007,2,18
2040-LDIWQ,Male,No,Yes,Yes,1,2011,1,14
6496-JDSSB,Female,No,No,No,25,1985,11,39
9408-SSNVZ,Female,No,No,No,16,1996,4,29
4443-EMBNA,Female,No,Yes,No,22,2010,11,14
6469-MRVET,Male,No,Yes,Yes,5,2009,10,15
0742-MOABM,Male,No,Yes,No,27,1996,9,28
5961-VUSRV,Female,No,No,No,20,2000,2,25
6778-JFCMK,Male,No,No,No,20,1982,9,42
6341-JVQGF,Female,No,Yes,Yes,13,2002,9,22
2232-DMLXU,Female,No,Yes,No,25,2008,3,17
4811-JBUVU,Male,No,No,No,6,1986,10,38
0945-TSONX,Female,No,Yes,Yes,25,1984,7,41
2651-ZCBXV,Male,No,No,No,5,1998,3,27
3316-UWXUY,Male,No,No,No,13,2005,11,19
8937-RDTHP,Male,No,No,No,3,2005,5,20
7083-MIOPC,Female,No,No,No,2,1998,1,27
1984-GPTEH,Female,No,No,No,7,1999,1,26
1251-KRREG,Male,No,No,No,6,1981,10,43
0621-JFHOL,Female,No,No,No,18,2003,5,22
9903-LYSAB,Male,No,Yes,No,23,1984,6,41
0094-OIFMO,Female,No,No,No,28,2007,1,18
9227-UAQFT,Male,No,No,No,21,2006,4,19
7301-ABVAD,Female,No,No,No,17,1998,2,27
6614-FHDBO,Male,No,No,No,30,1998,7,26
7576-ASEJU,Female,No,Yes,Yes,1,2002,5,23
9058-HRZSV,Female,No,Yes,No,4,1982,1,43
4522-AKYLR,Female,No,No,No,26,1982,10,42
0221-WMXNQ,Male,No,No,No,9,1986,11,38
0303-UNCIP,Male,No,No,No,19,1987,5,38
9947-OTFQU,Male,No,No,No,2,1984,1,41
0322-YINQP,Male,No,No,No,18,1997,6,28
0959-WHOKV,Male,No,No,No,10,2000,7,25
4075-JFPGR,Female,No,Yes,No,18,1999,10,25
4629-NRXKX,Female,No,Yes,Yes,5,2002,2,23
9514-JDSKI,Male,No,Yes,No,18,2003,5,22
3282-ZISZV,Male,No,No,Yes,21,1997,8,27
3675-YDUPJ,Male,No,No,No,11,1998,4,27
4111-BNXIF,Female,No,Yes,Yes,4,1991,9,33
7017-VFHAY,Female,No,Yes,Yes,3,2000,5,25
6655-LHBYW,Male,No,No,No,1,1999,4,26
4959-JOSRX,Female,No,Yes,No,21,2008,10,16
5046-NUHWD,Female,No,Yes,No,2,1984,6,41
7273-TEFQD,Male,No,No,No,20,1980,11,44
3606-TWKGI,Male,No,No,No,26,2012,1,13
7529-ZDFXI,Male,No,Yes,No,8,2002,8,22
7605-BDWDC,Female,No,No,No,23,2004,10,20
1950-KSVVJ,Female,No,Yes,No,30,2012,4,13
0123-CRBRT,Female,No,Yes,Yes,13,2002,10,22
6292-TOSSS,Male,No,No,No,13,1998,1,27
3197-ARFOY,Female,No,No,No,6,2008,6,17
6323-AYBRX,Male,No,No,No,26,2007,10,17
7014-ZZXAW,Female,No,Yes,No,8,1995,10,29
4385-GZQXV,Female,No,No,No,1,1997,12,27
7633-MVPUY,Male,No,Yes,No,18,2005,10,19
6366-ZGQGL,Male,No,No,No,27,1984,6,41
4716-HHKQH,Male,No,Yes,No,28,1993,7,31
5940-AHUHD,Male,No,No,No,4,1989,9,35
6432-TWQLB,Male,No,Yes,No,23,1994,6,31
4484-GLZOU,Female,No,Yes,No,15,1984,1,41
3179-GBRWV,Male,No,Yes,No,7,2000,5,25
8645-KWHJO,Male,No,No,No,19,2005,3,20
4130-MZLCC,Female,No,No,No,18,1998,3,27
0314-TKOSI,Female,No,No,No,24,2000,2,25
8229-MYEJZ,Female,No,No,No,14,1993,9,31
2080-SRCDE,Female,No,No,Yes,26,1983,3,42
9577-WJVCQ,Female,No,No,No,20,2005,10,19
9512-UIBFX,Male,No,Yes,Yes,7,1996,11,28
6202-DYYFX,Female,No,No,No,28,2010,3,15
3808-HFKDE,Female,No,No,No,30,1981,9,43
5583-SXDAG,Male,No,Yes,No,23,1981,1,44
3488-PGMQJ,Male,No,No,No,16,1997,10,27
3580-REOAC,Male,No,No,No,6,2004,6,21
7534-BFESC,Male,No,No,No,21,1981,1,44
3727-OWVYD,Male,No,No,No,27,1994,8,30
2294-SALNE,Male,No,Yes,Yes,11,1981,7,44
4847-TAJYI,Female,No,No,No,15,2005,2,20
1563-IWQEX,Female,No,No,No,16,1999,6,26
8203-XJZRC,Male,No,No,No,26,2006,8,18
6556-DBKZF,Female,No,Yes,Yes,6,1989,2,36
6851-WEFYX,Male,No,Yes,No,6,1980,8,44
2985-JUUBZ,Male,No,Yes,Yes,15,1991,12,33
6390-DSAZX,Female,No,No,Yes,21,1987,4,38
0895-LMRSF,Male,No,No,No,12,2001,12,23
8098-LLAZX,Female,No,No,No,8,2000,2,25
8266-VBFQL,Male,No,No,No,7,2011,12,13
8181-YHCMF,Female,No,Yes,Yes,15,2000,4,25
2240-HSJQD,Male,No,No,Yes,1,1997,12,27
1248-DYXUB,Male,No,Yes,Yes,17,1994,6,31
0265-EDXBD,Male,No,Yes,No,10,2007,5,18
4115-BNPJY,Male,No,Yes,Yes,11,1993,3,32
3167-SNQPL,Male,No,Yes,Yes,10,1992,7,33
4091-TVOCN,Male,No,No,Yes,17,1994,4,31
1098-TDVUQ,Female,No,No,No,15,1980,6,45
7277-OZCGZ,Female,No,No,No,6,2007,12,17
1557-EMYVT,Female,No,No,No,8,1982,3,43
2799-ARNLO,Female,No,Yes,No,16,1982,8,42
7563-BIUPC,Male,No,No,No,23,1988,2,37
5027-YOCXN,Male,No,Yes,Yes,4,1988,11,36
